

'''Copy the data and save in any notepad or folder in csv files and import this 
csv file after running the kings cofee code to see  the output'''



Date,Coffee_Type,Units_Sold,Unit_Price,Daily_Revenue
2025-07-01,Latte,52,150,7800
2025-07-02,Cold Brew,38,160,6080
2025-07-03,Cappuccino,41,140,5740
2025-07-04,Espresso,34,130,4420
2025-07-05,Latte,56,150,8400
2025-07-06,Latte,29,150,4350
2025-07-07,Americano,32,135,4320
2025-07-08,Latte,50,150,7500
2025-07-09,Cappuccino,35,140,4900
2025-07-10,Cold Brew,44,160,7040
2025-07-11,Latte,47,150,7050
2025-07-12,Espresso,39,130,5070
2025-07-13,Cappuccino,28,140,3920
2025-07-14,Latte,55,150,8250
2025-07-15,Cold Brew,40,160,6400
2025-07-16,Americano,33,135,4455
2025-07-17,Cappuccino,42,140,5880
2025-07-18,Latte,60,150,9000
2025-07-19,Espresso,36,130,4680
2025-07-20,Cold Brew,26,160,4160
2025-07-21,Latte,49,150,7350
2025-07-22,Cappuccino,31,140,4340
2025-07-23,Latte,54,150,8100
2025-07-24,Americano,30,135,4050
2025-07-25,Cappuccino,39,140,5460
2025-07-26,Espresso,35,130,4550
2025-07-27,Latte,26,150,3900
2025-07-28,Cold Brew,29,160,4640
2025-07-29,Latte,58,150,8700
2025-07-30,Cappuccino,43,140,6020
